epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4205.87,0.69847,0.73121,1.2219,0.90502,0.78721,0.88891,0.55065,1.30178,0.84788,1.51869,0.00643101,0.00643101,0.00643101
43,4305.69,0.70242,0.728,1.2195,0.92351,0.77625,0.88142,0.56596,1.2567,0.81949,1.45869,0.00628101,0.00628101,0.00628101
44,4404.08,0.69722,0.73535,1.2226,0.90602,0.79346,0.88504,0.55161,1.26257,0.83661,1.473,0.00612981,0.00612981,0.00612981
45,4503.01,0.69104,0.71399,1.21495,0.90231,0.79491,0.88381,0.5538,1.29974,0.80621,1.48998,0.00597754,0.00597754,0.00597754
46,4603.06,0.69136,0.71203,1.21304,0.89117,0.83305,0.89905,0.5647,1.29239,0.79635,1.486,0.00582435,0.00582435,0.00582435
47,4705.06,0.68677,0.71393,1.21205,0.87842,0.82073,0.89772,0.58474,1.23871,0.7804,1.45237,0.0056704,0.0056704,0.0056704
48,4806.23,0.6921,0.71153,1.21607,0.91055,0.80895,0.89581,0.57468,1.23706,0.78997,1.45412,0.00551584,0.00551584,0.00551584
49,4907.95,0.67495,0.693,1.20476,0.86689,0.8407,0.9021,0.58964,1.20838,0.75972,1.4181,0.00536081,0.00536081,0.00536081
50,5010.7,0.68274,0.69841,1.20735,0.91249,0.80763,0.89677,0.59082,1.22806,0.77776,1.41072,0.00520548,0.00520548,0.00520548
51,5108.82,0.66853,0.69557,1.20547,0.88753,0.80135,0.8944,0.58676,1.21502,0.7882,1.39719,0.00505,0.00505,0.00505
52,5207.82,0.67717,0.68473,1.20484,0.91071,0.8251,0.90802,0.58064,1.25237,0.75241,1.44014,0.00489452,0.00489452,0.00489452
53,5306.73,0.67261,0.68587,1.1993,0.92058,0.79803,0.90554,0.58641,1.23502,0.75521,1.4123,0.00473919,0.00473919,0.00473919
54,5406.87,0.66448,0.68167,1.19519,0.923,0.82523,0.90556,0.57205,1.28828,0.75857,1.49017,0.00458416,0.00458416,0.00458416
55,5509.07,0.66587,0.68593,1.19781,0.90391,0.84196,0.91443,0.59388,1.22255,0.73784,1.41779,0.0044296,0.0044296,0.0044296
56,5609.99,0.66016,0.66452,1.19141,0.90342,0.8296,0.9094,0.58382,1.27323,0.74673,1.44536,0.00427565,0.00427565,0.00427565
57,5710.25,0.65416,0.66221,1.18815,0.90963,0.83155,0.91256,0.58778,1.26113,0.72992,1.43607,0.00412246,0.00412246,0.00412246
58,5809.18,0.647,0.65994,1.18779,0.91832,0.83133,0.91727,0.60766,1.19139,0.69627,1.37459,0.00397019,0.00397019,0.00397019
59,5905.92,0.64313,0.6565,1.18312,0.91691,0.83571,0.91319,0.60183,1.2276,0.70458,1.41193,0.00381899,0.00381899,0.00381899
60,6006.68,0.64065,0.645,1.17857,0.90148,0.84337,0.91629,0.5957,1.26168,0.71656,1.43212,0.00366899,0.00366899,0.00366899
61,6107.83,0.6423,0.64974,1.18381,0.94094,0.81411,0.91203,0.59789,1.22193,0.70929,1.39159,0.00352037,0.00352037,0.00352037
62,6209.8,0.64036,0.63605,1.18084,0.90653,0.85133,0.91888,0.61678,1.19333,0.69307,1.37424,0.00337325,0.00337325,0.00337325
63,6310.85,0.63333,0.63509,1.17667,0.91843,0.85274,0.9266,0.61363,1.20875,0.69198,1.38476,0.00322778,0.00322778,0.00322778
64,6412.06,0.62816,0.63588,1.17195,0.90707,0.85678,0.92301,0.60389,1.24823,0.69671,1.42524,0.00308412,0.00308412,0.00308412
65,6511.76,0.62319,0.62401,1.1663,0.91839,0.84854,0.92367,0.60975,1.18661,0.66945,1.37918,0.00294239,0.00294239,0.00294239
66,6613.27,0.62043,0.62102,1.16087,0.93985,0.85714,0.92762,0.6187,1.19364,0.66766,1.38055,0.00280275,0.00280275,0.00280275
67,6712,0.61896,0.61618,1.16792,0.92779,0.84035,0.92814,0.6132,1.20738,0.68137,1.39435,0.00266532,0.00266532,0.00266532
